00100000000000000000000000000001 ;ADDI R0,R0,1
00100000001000010000000000000001 ;ADDI R1,R1,1
00100000011000110000000000000010 ;ADDI R3,R3,2
00100001010010100000000000001010 ;ADDI R10,R10,10
00100001011010110000000000110111 ;ADDI R11,R11,55
00000000000000000000000000000000 ;NOP
00000000000000010001000000100000 ;ADD R2,R0,R1
00100000001000000000000000000000 ;ADDI R0,R1,0
00100000010000010000000000000000 ;ADDI R1,R2,0
00100000011000110000000000000001 ;ADDI R3,R3,1
00011100011010100000000000011000 ;BLE R3,R10,24
00010000011010110000000000001000 ;BNE R3,R11,8
10101100011000110000000000010100 ;SW R3,20(R3)
00001000000000000000000000111100 ;JMP 60
10101100011000000000000000010100 ;SW R0,20(R3)
10001100011001000000000000010100 ;LW R4,20(R3)
00100001101011010000000000000010 ;ADDI R13,R13,2
00000001101001000010100000011000 ;MUL R5,R4,R13
00000000000000000000000000000000 ;NOP
00000000000000000000000000000000 ;NOP
00100000111001110000000000000100 ;ADDI R7,R7,4
00100001110011100000000000000101 ;ADDI R14,R14,5
00100001111011110000000001010101 ;ADDI R15,R15,85
00000000101011100010100000100010 ;SUB R5,R5,R14
00100001000010000000000000000001 ;ADDI R8,R8,1
00011101000001110000000001011100 ;BLE R8,R7,92
00010100101011110000000000000100 ;BEQ R5,R15,4
00001000000000000000000001110100 ;JMP 116
00100011111111110000000000000001 ;ADDI R31,R31,1
00100011110111100000000000000001 ;ADDI R30,R30,1
